id,code,label,meridian_prefix,Point_Group,corpo_x,corpo_y,corpo_z,corpo_side,expected_pairing,consistency_flag,reference_note
021Nr6bIpNaJFSqoU2pp,SI2,Qiangu,SI,SI,-22.298,-14.1656,3.6578,Right,Paired,OK,
0UTyGQx0kOQQtOCA69Lh,LIV1,Dadun,LIV,LIV,-8.3497,-92.2026,13.5364,Right,Paired,OK,
0YofVVp7H9jIq0vpwHkx,BL23,Shenshu,BL,BL,-1.2735,15.267,-10.8708,Right,Paired,OK,
0hWWFIoO8UIv9YB7xvIw,LI18,Futuo,LI,LI,5.1322,56.1,-3.6,Left,Paired,OK,
0lri1c7ERI50MHslq0rI,GB30,Huantiao,GB,GB,12.3574,-4.8329,-9.6007,Left,Paired,OK,
15xMyXkAbX12pHTgLyFc,BL21,WeiShu,BL,BL,-3.7452,16.53,-11.7083,Right,Paired,OK,
1FpPxQ4WZgZRB1ZQwd9g,ST40,Fenglong,ST,ST,-12.9457,-72.641,-4.6951,Right,Paired,OK,
1Wu0Syn38W45nGVsokMi,HN3,Yintang,HN,HN-midline-front,-0.0424,70.6012,6.9704,Midline,Midline,OK,"Yintang (EX-HN3), confirmed midline (between the eyebrows)."
1a5c7MWnnslVz8FoFUVm,ST41,Jiexi,ST,ST,-8.6678,-85.18,-0.8,Right,Paired,OK,
1eMFHYk6ynDcos78n9uP,CV5,Shimen,CV,CV,0.05,3.3,7.25,Midline,Midline,OK,
1zQCJkh1NzOp5TFfBnNd,BL15,Xinshu,BL,BL,-3.5245,38.8444,-16.2355,Right,Paired,OK,
2rzZdKwABMHLcAtY2HBI,ST32,Futu,ST,ST,-12.4678,-28.48,4.3,Right,Paired,OK,
2tC6gZmWj3XQAw8VDWt1,LU8,Jingqu,LU,LU,-26.2678,-3.5,-0.5,Right,Paired,OK,
3PkjDFsDSTrQeLBAhrW1,SJ6,Zhigou,SJ,SJ,25.0079,3.7925,-5.6873,Left,Paired,OK,
3VUtza5qpdaWhUUuBmfc,BL61,Pu Can,BL,BL,-9.6918,-92.2625,-6.3737,Right,Paired,OK,
3dTLeGGP1JZyUPx4zRIT,KI6,Zhaohai,KI,KI,-4.7794,-91.9685,-4.987,Right,Paired,OK,
