id,code,label_en,label_he,description_en,description_he,longText_en,longText_he,x,y,z,xbot-x,xbot-y,xbot-z,corpo-x,corpo-y,corpo-z,sensitivity,imageURL,documentUrl_en,documentUrl_he,status
0YofVVp7H9jIq0vpwHkx,BL23,Shenshu,Shenshu,Kidney Shu -  Lower back pain and adrenal support.,בעיות בדרכי השתן ובכליות,long text,"אופי:  נקודת השפעה (SHU) על הכליות.
פעולה:
מפזרת עודף Yang מהכליות
מחזקת ומסדירה את הכליות
מפיצה ומנקה חסימות Qi של הכליות
מחזקת את עמוד השדרה במיוחד המותני, ואת הברכיים
מסדירה את מחזור הנוזלים, מעוררת את שלפוחית השתן ומגבירה מתן שתן
מטהרת את האוזניים ומיטיבה עם הראייה
מפזרת ומסלקת לחות
מחזקת את העצמות והשיניים
מונעת עייפות מעודף מתח ומונעת הזדקנות
אינדיקציות: בעיות/דלקות בדרכי השתן ובכליות, תת תזונה, קרי לילה, אימפוטנציה, עקרות, מחזור לא סדיר, סכרת, אסטמה, אנמיה, כאבי גב תחתון, סחרחורת, אוסטיאופורוזיס, בעיות עיניים, חרשות, צלצולי אוזניים.
",0.13,0.93,-0.14,0.13,0.93,-0.14,0,0,0,Low,https://drive.google.com/file/d/19mu8neKg2gPArJS8htC1GJbHQ5r4QpeN/view?usp=drive_link,https://firebasestorage.googleapis.com/v0/b/apitherapyv2.firebasestorage.app/o/Points%2FBL23%2F1771688991240_English%20point%20document.pdf?alt=media&token=f1dfce3f-9dbc-4ddb-ac31-f664c2646932,https://firebasestorage.googleapis.com/v0/b/apitherapyv2.firebasestorage.app/o/Points%2F0YofVVp7H9jIq0vpwHkx%2F1774713847740_BL%2023.pdf?alt=media&token=fa89f692-a9bf-4eb4-bd7c-700809680a5b,active
0hWWFIoO8UIv9YB7xvIw,LI18,Futuo,,"Treats facial paralysis, toothache, and sinus issues.","מטפלת בשיתוק פנים, כאבי שיניים ובעיות בסינוסים.",,,,,,0.061606493821178,1.6277198933850285,-0.050157499394233356,5.132201993135483,56.100000000000186,-3.600000000000003,,,,,active
1FpPxQ4WZgZRB1ZQwd9g,ST40,Fenglong,,Major point for resolving phlegm. Also treats mental health conditions and asthma.,נקודה מרכזית להתמרת ליחה. מטפלת גם במצבים מנטליים ואסתמה.,,,,,,-0.14120426459898272,0.2584201599224486,-0.057790162345529736,-13.467798006864484,-69.48000000000059,-4.3000000000000025,,,,,active
1Wu0Syn38W45nGVsokMi,HN3,Yintang,Yintang,Hall of Impression היא נחשבת לנקודה מרכזית להרגעת הנפש,"היכל ההטבעה. נדודי שינה, חרדה, כאבי ראש פרונטליים, סינוסיטיס, נזלת אלרגית, סחרחורות (Vertigo), יתר לחץ דם ואפילפסיה.","נדודי שינה, חרדה, כאבי ראש פרונטליים, סינוסיטיס, נזלת אלרגית, סחרחורות (Vertigo), יתר לחץ דם ואפילפסיה.
","אופי : נקודה חוץ-ערוצית (Extra Point). היא נחשבת לנקודה מרכזית להרגעת הנפש ומקושרת לצ'אקרת ""העין השלישית"".
פעולה:
השקטת ה-Shen: מרגיעה את הנפש, מפחיתה חרדה, אי-שקט ודיכאון.
טיפול בבעיות אף: פותחת את מעכוך כאב: יעילה מאוד לטיפול בכאבי ראש פרונטליים (במצח).
הבהרת המחשבה: מסייעת בריכוז ובמיקוד מנטלי.
הכנעת רוח פנימית: מסייעת במצבים של סחרחורות או עוויתות.
היבטים מערביים:
נדודי שינה, חרדה, כאבי ראש פרונטליים, סינוסיטיס, נזלת אלרגית, סחרחורות (Vertigo), יתר לחץ דם ואפילפסיה.",,,,0,0,0,0,0,0,High,https://drive.google.com/file/d/1hveMIivgAh08K3V8hftUHFZIcGNQiSGv/view?usp=drive_link,https://firebasestorage.googleapis.com/v0/b/apitherapyv2.firebasestorage.app/o/Points%2Fnew%2F1774699109634_Yintang%20%E2%80%93%20EX-HN%203.pdf?alt=media&token=53d821b2-da45-43a6-b1c6-3b364839fbd2,https://firebasestorage.googleapis.com/v0/b/apitherapyv2.firebasestorage.app/o/Points%2F1Wu0Syn38W45nGVsokMi%2F1774699187516_Yintang%20%E2%80%93%20EX-HN%203.pdf?alt=media&token=f29113df-584f-463a-b4c3-0b1ca80a35ee,active
1a5c7MWnnslVz8FoFUVm,ST41,Jiexi,,Clears heat from the Stomach and treats ankle pain/weakness.,מנקה חום מהקיבה ומטפלת בכאבי קרסול/חולשה.,,,,,,-0.08886600436152198,0.08723043372909657,-0.019626847589047813,-8.667798006864501,-85.1799999999997,-0.8000000000000016,,,,,active
1eMFHYk6ynDcos78n9uP,CV5,Shimen,,"Regulates the Water Passages and treats edema, urinary issues, and abdominal pain.","מווסת את מעברי המים ומטפל בבצקות, בעיות שתן וכאבי בטן.",,,,,,0.006191158301163957,1.051999030772956,0.0681487763508606,0.05,3.3000000000000007,7.25,,,,,active
1zQCJkh1NzOp5TFfBnNd,BL15,,Xinshu,,ויסות הלב והזרמת דם,,"אופי: נקודת השפעה (SHU) על הלב.
פעולה:
מזינה ועוררת Yang בלב.
מזינה ומחזקת את הלב.
מניעה את חום הלב ומשקיטה את הנפש.
מסדירה Qi ודם של הלב.
פותחת את החזה ומטפלת בשיעול עם ריאה.
מסדירה את הלשון ואת הדיבור.
היבטים מערביים: אפילפסיה, פלפיטציות, חולשת לב, שיעול, הקאה, הזעת לילה, מחלות לב.
",,,,0,0,0,0,0,0,Low,https://drive.google.com/file/d/1E_y60Ft8lQ8ieSRxTa0I9vFLrAT8qOyG/view?usp=sharing,,https://firebasestorage.googleapis.com/v0/b/apitherapyv2.firebasestorage.app/o/Points%2F1zQCJkh1NzOp5TFfBnNd%2F1774683490943_BL%2015.pdf?alt=media&token=1fdd4bff-bd65-4490-8f50-e165d3304d78,active
2rzZdKwABMHLcAtY2HBI,ST32,Futu,,Expels wind and treats local leg pain.,מסלקת רוח ומטפלת בכאב רגליים מקומי.,,,,,,-0.13030046038284507,0.7054761327840962,0.03598255391325443,-12.467798006864488,-28.48000000000039,4.300000000000001,,,,,active
2tC6gZmWj3XQAw8VDWt1,LU8,Jingqu,,"Addresses mental restlessness, mouth ulcers, and high blood pressure. Clears heart fire.","מטפלת באי-שקט מנטלי, כיבים בפה ויתר לחץ דם. מנקה אש מהלב.",,,,,,-0.2807729585655467,0.9778531621032162,-0.01635570632420648,-26.26779800686462,-3.500000000000344,-0.5000000000000001,,,,,active
4HdFcbEgCFt2JWc9p6t7,LU9,Taiyuan,,Jing-Well point. Used to revive consciousness and clear heart fire.,"אסטמה, שפעת, כאבי ראש, שינויים גרון ועיניים. במיוחד בעיות כרוניות של הריאות.
",,"אופי: נקודת אדמה / נקודת פלג / נקודת מקור / נקודת השפעה לכלי הדם / נקודת חיזוק.
פעולה: מנקזת ומפזרת ליחה ולחות.
 מסלקת רוח, מנקה ומקררת חום בריאות ובגרון.
 מחזקת ובונה את ה־Yin של הריאות.
 מניעה את הדם ומחזקת את הדופק.
 מפסיקה שיעול דמי.
 מסדירה זרימת Qi הריאות, מפסיקה שיעול ומרגיעה צפצופי נשימה.
 נקודת הצלבה – התקפים אפילפטיים, טביעה.
היבטים מערביים: אסטמה, שפעת, כאבי ראש, שינויים גרון ועיניים. במיוחד בעיות כרוניות של הריאות.",,,,-0.29276714320329833,0.9560455536709408,-0.014174945480978945,-27.367798006864636,-5.500000000000339,-0.30000000000000016,Medium,https://drive.google.com/file/d/1S8vVwHvM5Q3EtHM4d4W91PzKcO9ukf1t/view?usp=drive_link,,https://firebasestorage.googleapis.com/v0/b/apitherapyv2.firebasestorage.app/o/Points%2F4HdFcbEgCFt2JWc9p6t7%2F1774546009004_LU%209.pdf?alt=media&token=123400ae-30c3-417a-9c3b-f1ac69eb3c44,active
